,movie,year,imdb,metascore,votes,n_imdb
2168,Thor: The Dark World,2013,7.0,54,459238,70.0
2169,Prisoners,2013,8.1,74,454459,81.0
2170,Star Trek: Into Darkness,2013,7.8,72,425215,78.0
2171,Oblivion,2013,7.0,54,420582,70.0
2172,Pacific Rim,2013,7.0,64,409559,70.0
2173,Her,2013,8.0,90,408005,80.0
2174,American Hustle,2013,7.3,90,387924,73.0
2175,Elysium,2013,6.6,61,368371,66.0
2176,The Wolverine,2013,6.7,60,366473,67.0
2177,Dallas Buyers Club,2013,8.0,84,364477,80.0
2178,Captain Phillips,2013,7.8,83,356094,78.0
2179,Rush,2013,8.1,75,351927,81.0
2180,The Conjuring,2013,7.5,68,345656,75.0
2181,We're the Millers,2013,7.0,44,343986,70.0
2182,This Is the End,2013,6.6,67,336171,66.0
2183,Furious 6,2013,7.1,61,326047,71.0
2184,Despicable Me 2,2013,7.4,62,315446,74.0
2185,Monsters University,2013,7.3,65,260578,73.0
2186,The Secret Life of Walter Mitty,2013,7.3,54,256121,73.0
2187,The Hangover Part III,2013,5.9,30,246670,59.0
2188,About Time,2013,7.8,55,229963,78.0
2189,Lone Survivor,2013,7.5,60,226014,75.0
2190,Kick-Ass 2,2013,6.6,41,220848,66.0
2191,Olympus Has Fallen,2013,6.5,41,219723,65.0
2192,The World's End,2013,7.0,81,208803,70.0
2193,Snowpiercer,2013,7.0,84,208791,70.0
2194,Don Jon,2013,6.6,66,204126,66.0
2195,Ender's Game,2013,6.7,51,198318,67.0
2196,Warm Bodies,2013,6.9,59,197282,69.0
2197,The Lone Ranger,2013,6.5,37,195612,65.0
2198,Escape Plan,2013,6.7,49,193328,67.0
2199,Gangster Squad,2013,6.7,40,184936,67.0
2200,Oz the Great and Powerful,2013,6.3,44,184026,63.0
2201,White House Down,2013,6.4,52,177585,64.0
2202,A Good Day to Die Hard,2013,5.3,28,176377,53.0
2203,Pain & Gain,2013,6.5,45,173194,65.0
2204,Hansel & Gretel: Witch Hunters,2013,6.1,21,171551,61.0
2205,After Earth,2013,4.9,33,170043,49.0
2206,The Internship,2013,6.3,42,169705,63.0
2207,2 Guns,2013,6.7,55,169469,67.0
2208,Blue Jasmine,2013,7.3,78,165091,73.0
2209,The Croods,2013,7.2,55,163882,72.0
2210,The Purge,2013,5.7,41,160231,57.0
2211,Side Effects,2013,7.1,75,158158,71.0
2212,G.I. Joe: Retaliation,2013,5.8,41,155152,58.0
2213,Mama,2013,6.2,57,147410,62.0
2214,The Heat,2013,6.6,60,143106,66.0
2215,Anchorman 2: The Legend Continues,2013,6.3,61,143041,63.0
2216,RED 2,2013,6.7,47,137055,67.0
2217,Evil Dead,2013,6.5,57,136661,65.0
2218,Riddick,2013,6.4,49,135109,64.0
2219,Saving Mr. Banks,2013,7.5,65,128725,75.0
2220,47 Ronin,2013,6.3,28,126236,63.0
2221,The Way Way Back,2013,7.4,68,124586,74.0
2222,Insidious: Chapter 2,2013,6.6,40,124263,66.0
2223,The Last Stand,2013,6.4,54,120720,64.0
2224,The Spectacular Now,2013,7.1,82,120302,71.0
2225,Enemy,2013,6.9,61,119840,69.0
2226,Grown Ups 2,2013,5.4,19,117955,54.0
2227,Begin Again,2013,7.4,62,116715,74.0
2228,Carrie,2013,5.9,53,116533,59.0
2229,The Mortal Instruments: City of Bones,2013,5.9,33,114793,59.0
2230,Last Vegas,2013,6.6,48,114519,66.0
2231,Jack the Giant Slayer,2013,6.3,51,114345,63.0
2232,Inside Llewyn Davis,2013,7.5,93,109695,75.0
2233,The Book Thief,2013,7.6,53,109447,76.0
2234,Before Midnight,2013,7.9,94,109052,79.0
2235,La vie d'Adèle,2013,7.8,88,108057,78.0
2236,Identity Thief,2013,5.7,35,105492,57.0
2237,Locke,2013,7.1,81,105336,71.0
2238,R.I.P.D.,2013,5.6,25,99677,56.0
2239,Trance,2013,6.9,61,99538,69.0
2240,Under the Skin,2013,6.3,78,99214,63.0
2241,The Host,2013,5.9,35,99036,59.0
2242,Nebraska,2013,7.7,86,98232,77.0
2243,Parker,2013,6.2,42,98119,62.0
2244,Oculus,2013,6.5,61,96374,65.0
2245,The Call,2013,6.7,51,96198,67.0
2246,The Family,2013,6.3,42,95653,63.0
2247,The Butler,2013,7.2,66,95205,72.0
2248,Nymphomaniac: Vol. I,2013,7.0,64,94419,70.0
2249,Percy Jackson: Sea of Monsters,2013,5.9,39,94265,59.0
2250,Only God Forgives,2013,5.7,37,92448,57.0
2251,Stoker,2013,6.8,58,91361,68.0
2252,Out of the Furnace,2013,6.8,63,91276,68.0
2253,Homefront,2013,6.5,40,90814,65.0
2254,Epic,2013,6.7,52,90719,67.0
2255,Safe Haven,2013,6.7,34,87716,67.0
2256,The Counselor,2013,5.3,48,86792,53.0
2257,Movie 43,2013,4.3,18,85953,43.0
2258,Filth,2013,7.1,56,84829,71.0
2259,Jobs,2013,5.9,44,83624,59.0
2260,Philomena,2013,7.6,77,82990,76.0
2261,La migliore offerta,2013,7.8,49,82316,78.0
2262,Bad Grandpa,2013,6.5,54,81860,65.0
2263,Beautiful Creatures,2013,6.2,52,73851,62.0
2264,August: Osage County,2013,7.2,58,73714,72.0
2265,The Bling Ring,2013,5.6,66,73082,56.0
2266,Coherence,2013,7.2,65,72699,72.0
2267,Cloudy with a Chance of Meatballs 2,2013,6.4,59,71990,64.0
2268,Only Lovers Left Alive,2013,7.3,79,71477,73.0
2269,42,2013,7.5,62,71296,75.0
2270,Snitch,2013,6.5,51,69857,65.0
2271,Nymphomaniac: Vol. II,2013,6.7,60,68909,67.0
2272,Turbo,2013,6.5,58,67935,65.0
2273,Broken City,2013,6.2,49,67767,62.0
2274,The Kings of Summer,2013,7.2,61,67546,72.0
2275,Delivery Man,2013,6.4,44,65372,64.0
2276,21 & Over,2013,5.9,34,64971,59.0
2277,Short Term 12,2013,8.0,82,64888,80.0
2278,All Is Lost,2013,6.9,87,64771,69.0
2279,Machete Kills,2013,5.6,41,64383,56.0
2280,La grande bellezza,2013,7.8,86,64005,78.0
2281,The Incredible Burt Wonderstone,2013,5.9,44,63905,59.0
2282,Horns,2013,6.5,46,63606,65.0
2283,Dark Skies,2013,6.3,50,62188,63.0
2284,Fruitvale Station,2013,7.5,85,60196,75.0
2285,Europa Report,2013,6.5,68,58422,65.0
2286,Dead Man Down,2013,6.5,39,58096,65.0
2287,The F Word,2013,6.8,59,57806,68.0
2288,Hummingbird,2013,6.2,43,56613,62.0
2289,Old Boy,2013,5.8,49,56445,58.0
2290,Runner Runner,2013,5.6,36,55637,56.0
2291,Scary Movie 5,2013,3.5,11,54596,35.0
2292,Enough Said,2013,7.1,78,52524,71.0
2293,Kaze tachinu,2013,7.8,83,52023,78.0
2294,Blue Ruin,2013,7.1,77,51838,71.0
2295,Blackfish,2013,8.1,83,51540,81.0
2296,Grudge Match,2013,6.4,35,50334,64.0
2297,Drinking Buddies,2013,6.1,71,49848,61.0
2298,The Frozen Ground,2013,6.4,37,47295,64.0
2299,The East,2013,6.8,68,44571,68.0
2300,Bad Words,2013,6.7,57,41164,67.0
2301,The Big Wedding,2013,5.6,28,40888,56.0
2302,Chennai Express,2013,6.0,45,40726,60.0
2303,Ida,2013,7.4,91,40346,74.0
2304,The Double,2013,6.5,68,40179,65.0
2305,Odd Thomas,2013,6.9,45,39934,69.0
2306,Joe,2013,6.9,74,39554,69.0
2307,The Zero Theorem,2013,6.1,50,38565,61.0
2308,The Colony,2013,5.3,28,37890,53.0
2309,Planes,2013,5.8,39,37435,58.0
2310,A Haunted House,2013,5.1,20,37381,51.0
2311,Le passé,2013,7.8,85,37333,78.0
2312,Dabba,2013,7.8,76,37209,78.0
2313,Dhoom:3,2013,5.4,61,37060,54.0
2314,Starred Up,2013,7.4,81,35929,74.0
2315,Labor Day,2013,6.9,52,35245,69.0
2316,Lovelace,2013,6.2,51,33501,62.0
2317,The Fifth Estate,2013,6.2,49,32777,62.0
2318,Interstellar,2014,8.6,74,1104871,86.0
2319,Guardians of the Galaxy,2014,8.1,76,796275,81.0
2320,Gone Girl,2014,8.1,79,665031,81.0
2321,X-Men: Days of Future Past,2014,8.0,74,568234,80.0
2322,Captain America: The Winter Soldier,2014,7.8,70,563201,78.0
2323,The Grand Budapest Hotel,2014,8.1,88,554456,81.0
2324,The Imitation Game,2014,8.0,73,551315,80.0
2325,Whiplash,2014,8.5,88,508883,85.0
2326,Edge of Tomorrow,2014,7.9,71,489945,79.0
2327,Kingsman: The Secret Service,2014,7.7,60,476043,77.0
2328,Birdman or (The Unexpected Virtue of Ignorance),2014,7.8,88,458570,78.0
2329,The Hobbit: The Battle of the Five Armies,2014,7.4,59,398729,74.0
2330,Divergent,2014,6.7,48,371909,67.0
2331,Lucy,2014,6.4,61,365357,64.0
2332,American Sniper,2014,7.3,72,365101,73.0
2333,Ex Machina,2014,7.7,78,359125,77.0
2334,John Wick,2014,7.3,68,358879,73.0
2335,Dawn of the Planet of the Apes,2014,7.6,79,358321,76.0
2336,The Amazing Spider-Man 2,2014,6.7,53,353845,67.0
2337,Nightcrawler,2014,7.9,76,350298,79.0
2338,The Maze Runner,2014,6.8,57,347021,68.0
2339,The Hunger Games: Mockingjay - Part 1,2014,6.7,64,343609,67.0
2340,Fury,2014,7.6,64,343422,76.0
2341,Godzilla,2014,6.4,62,324803,64.0
2342,Big Hero 6,2014,7.8,74,322432,78.0
2343,The Theory of Everything,2014,7.7,72,312405,77.0
2344,Boyhood,2014,7.9,100,294328,79.0
2345,22 Jump Street,2014,7.1,71,290562,71.0
2346,The Fault in Our Stars,2014,7.8,69,281966,78.0
2347,Maleficent,2014,7.0,56,276510,70.0
2348,The LEGO Movie,2014,7.8,83,275861,78.0
2349,The Interview,2014,6.6,52,267979,66.0
2350,Transformers: Age of Extinction,2014,5.7,32,264967,57.0
2351,The Equalizer,2014,7.2,57,256147,72.0
2352,How to Train Your Dragon 2,2014,7.8,76,244741,78.0
2353,Neighbors,2014,6.3,68,244139,63.0
2354,300: Rise of an Empire,2014,6.2,48,244027,62.0
2355,Non-Stop,2014,7.0,56,217258,70.0
2356,Noah,2014,5.8,68,214466,58.0
2357,Predestination,2014,7.5,69,197931,75.0
2358,RoboCop,2014,6.2,52,194353,62.0
2359,Transcendence,2014,6.3,42,190212,63.0
2360,Teenage Mutant Ninja Turtles,2014,5.8,31,182216,58.0
2361,Chef,2014,7.3,68,157372,73.0
2362,Dracula Untold,2014,6.3,40,152944,63.0
2363,The Judge,2014,7.4,48,150984,74.0
2364,It Follows,2014,6.9,83,150045,69.0
2365,Taken 3,2014,6.0,26,149892,60.0
2366,A Million Ways to Die in the West,2014,6.1,44,148534,61.0
2367,Need for Speed,2014,6.5,39,146147,65.0
2368,The Expendables 3,2014,6.1,35,142290,61.0
2369,Exodus: Gods and Kings,2014,6.0,52,140799,60.0
2370,Horrible Bosses 2,2014,6.3,40,130108,63.0
2371,Sin City: A Dame to Kill For,2014,6.5,46,126823,65.0
2372,Hercules,2014,6.0,47,125823,60.0
2373,The Drop,2014,7.1,69,120458,71.0
2374,Relatos salvajes,2014,8.1,77,119893,81.0
2375,Unbroken,2014,7.2,59,118328,72.0
2376,Foxcatcher,2014,7.0,81,117451,70.0
2377,Let's Be Cops,2014,6.5,30,115225,65.0
2378,The Other Woman,2014,6.0,39,113688,60.0
2379,Into the Woods,2014,6.0,69,113029,60.0
2380,The Purge: Anarchy,2014,6.5,50,110751,65.0
2381,The Monuments Men,2014,6.1,52,110398,61.0
2382,Dumb and Dumber To,2014,5.7,36,107609,57.0
2383,Jack Ryan: Shadow Recruit,2014,6.2,57,105841,62.0
2384,Still Alice,2014,7.5,72,102647,75.0
2385,Annabelle,2014,5.4,37,101505,54.0
2386,Wild,2014,7.1,76,99408,71.0
2387,The Giver,2014,6.5,47,96756,65.0
2388,Blended,2014,6.5,31,96697,65.0
2389,If I Stay,2014,6.8,46,96176,68.0
2390,A Walk Among the Tombstones,2014,6.5,57,96088,65.0
2391,The Raid 2: Berandal,2014,8.0,71,94417,80.0
2392,Pompeii,2014,5.5,39,93094,55.0
2393,What We Do in the Shadows,2014,7.6,76,92958,76.0
2394,Sex Tape,2014,5.1,36,92489,51.0
2395,I Origins,2014,7.3,57,91192,73.0
2396,"Love, Rosie",2014,7.2,44,85939,72.0
2397,Ride Along,2014,6.2,41,85293,62.0
2398,That Awkward Moment,2014,6.2,36,84206,62.0
2399,St. Vincent,2014,7.3,64,83069,73.0
2400,Night at the Museum: Secret of the Tomb,2014,6.2,47,78851,62.0
2401,3 Days to Kill,2014,6.2,40,75386,62.0
2402,The Guest,2014,6.7,76,74234,67.0
2403,Inherent Vice,2014,6.7,81,72531,67.0
2404,"I, Frankenstein",2014,5.1,30,70967,51.0
2405,Selma,2014,7.5,89,70096,75.0
2406,Big Eyes,2014,7.0,62,67473,70.0
2407,Penguins of Madagascar,2014,6.7,53,66578,67.0
2408,Rio 2,2014,6.3,49,64856,63.0
2409,Frank,2014,7.0,75,63193,70.0
2410,A Most Wanted Man,2014,6.8,73,62923,68.0
2411,The Hundred-Foot Journey,2014,7.3,55,61660,73.0
2412,Seventh Son,2014,5.5,30,61642,55.0
2413,The Water Diviner,2014,7.1,50,61121,71.0
2414,This Is Where I Leave You,2014,6.6,44,60099,66.0
2415,Deliver Us from Evil,2014,6.2,40,59072,62.0
2416,"As Above, So Below",2014,6.2,38,57857,62.0
2417,Into the Storm,2014,5.8,44,57577,58.0
2418,Paddington,2014,7.2,77,56910,72.0
2419,Before I Go to Sleep,2014,6.3,41,56800,63.0
2420,The November Man,2014,6.3,38,55105,63.0
2421,The Gambler,2014,6.0,55,54337,60.0
2422,The Signal,2014,6.1,54,53534,61.0
2423,Unfriended,2014,5.6,59,53532,56.0
2424,Magic in the Moonlight,2014,6.6,54,53483,66.0
2425,Two Night Stand,2014,6.4,45,53116,64.0
2426,A Most Violent Year,2014,7.0,79,52960,70.0
2427,Mr. Peabody & Sherman,2014,6.8,59,52622,68.0
2428,The Book of Life,2014,7.3,67,52415,73.0
2429,The Best of Me,2014,6.7,29,51699,67.0
2430,Sabotage,2014,5.7,41,51479,57.0
2431,The Legend of Hercules,2014,4.2,22,47737,42.0
2432,Calvary,2014,7.4,77,47463,74.0
2433,Autómata,2014,6.1,37,46881,61.0
2434,The Boxtrolls,2014,6.8,61,46711,68.0
2435,Vampire Academy,2014,5.6,31,45461,56.0
2436,Winter's Tale,2014,6.2,31,45177,62.0
2437,Walk of Shame,2014,6.0,25,44684,60.0
2438,Veronica Mars,2014,6.8,62,44176,68.0
2439,Citizenfour,2014,8.1,88,43985,81.0
2440,Draft Day,2014,6.8,54,43766,68.0
2441,The Cobbler,2014,5.8,23,42498,58.0
2442,The Voices,2014,6.4,58,41760,64.0
2443,Pride,2014,7.8,79,41625,78.0
2444,'71,2014,7.2,83,41225,72.0
2445,Eliza Graves,2014,6.8,52,40833,68.0
2446,The Loft,2014,6.3,24,40790,63.0
2447,Tammy,2014,4.9,39,40255,49.0
2448,Ouija,2014,4.5,38,39404,45.0
2449,Million Dollar Arm,2014,7.0,56,38592,70.0
2450,"Deux jours, une nuit",2014,7.4,89,37398,74.0
2451,The Rover,2014,6.4,64,37070,64.0
2452,Leviafan,2014,7.6,92,37052,76.0
2453,Kill the Messenger,2014,7.0,60,36825,70.0
2454,Mommy,2014,8.1,74,36225,81.0
2455,While We're Young,2014,6.3,77,35886,63.0
2456,Tusk,2014,5.4,55,35775,54.0
2457,Song of the Sea,2014,8.1,85,35585,81.0
2458,Laggies,2014,6.4,63,35009,64.0
2459,Brick Mansions,2014,5.7,40,34934,57.0
2460,God's Not Dead,2014,4.8,16,34893,48.0
2461,Endless Love,2014,6.3,30,34825,63.0
2462,Before We Go,2014,6.9,31,34741,69.0
2463,The Inbetweeners 2,2014,6.4,55,34680,64.0
2464,Paranormal Activity: The Marked Ones,2014,5.0,42,34465,50.0
2465,The Skeleton Twins,2014,6.8,74,34317,68.0
2466,Camp X-Ray,2014,7.0,54,33738,70.0
2467,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,6.2,54,33361,62.0
2468,Time Lapse,2014,6.5,50,33244,65.0
2469,Wish I Was Here,2014,6.7,43,32386,67.0
2470,Maps to the Stars,2014,6.2,67,31791,62.0
2471,Cake,2014,6.4,49,30528,64.0
2472,Kis Uykusu,2014,8.2,88,29935,82.0
2473,Ich seh ich seh,2014,6.7,81,29669,67.0
2474,Pawn Sacrifice,2014,7.0,65,29654,70.0
2475,The Salvation,2014,6.7,64,29246,67.0
2476,Cold in July,2014,6.8,73,29018,68.0
2477,Love & Mercy,2014,7.4,80,28848,74.0
2478,Black Sea,2014,6.4,62,28536,64.0
2479,Left Behind,2014,3.1,12,28414,31.0
2480,Annie,2014,5.3,33,28310,53.0
2481,Star Wars: Episode VII - The Force Awakens,2015,8.1,81,692884,81.0
2482,Mad Max: Fury Road,2015,8.1,90,667697,81.0
2483,The Martian,2015,8.0,80,585174,80.0
2484,Avengers: Age of Ultron,2015,7.4,66,541522,74.0
2485,The Revenant,2015,8.0,76,527195,80.0
2486,Jurassic World,2015,7.0,59,471727,70.0
2487,Inside Out,2015,8.2,94,444002,82.0
2488,Ant-Man,2015,7.3,64,391845,73.0
2489,The Hateful Eight,2015,7.8,68,364195,78.0
2490,Spectre,2015,6.8,60,320371,68.0
2491,Furious Seven,2015,7.2,67,311252,72.0
2492,Spotlight,2015,8.1,93,291168,81.0
2493,Mission: Impossible - Rogue Nation,2015,7.4,75,267041,74.0
2494,The Big Short,2015,7.8,81,263177,78.0
2495,Sicario,2015,7.6,82,261739,76.0
2496,Fifty Shades of Grey,2015,4.1,46,251184,41.0
2497,Room,2015,8.2,86,244861,82.0
2498,Bridge of Spies,2015,7.6,81,229853,76.0
2499,The Hunger Games: Mockingjay - Part 2,2015,6.6,65,215033,66.0
2500,The Man from U.N.C.L.E.,2015,7.3,56,214085,73.0
2501,Terminator Genisys,2015,6.5,38,213800,65.0
2502,Chappie,2015,6.9,41,195547,69.0
2503,Spy,2015,7.0,75,195012,70.0
2504,Creed,2015,7.6,82,184161,76.0
2505,Insurgent,2015,6.3,42,179390,63.0
2506,Southpaw,2015,7.4,57,177960,74.0
2507,Focus,2015,6.6,56,172945,66.0
2508,Minions,2015,6.4,56,170526,64.0
2509,San Andreas,2015,6.1,43,168304,61.0
2510,Maze Runner: The Scorch Trials,2015,6.3,43,168023,63.0
2511,The Intern,2015,7.1,51,167821,71.0
2512,Everest,2015,7.1,64,161956,71.0
2513,Jupiter Ascending,2015,5.3,40,154207,53.0
2514,Tomorrowland,2015,6.5,60,148201,65.0
2515,Straight Outta Compton,2015,7.9,72,147994,79.0
2516,Ted 2,2015,6.3,48,144281,63.0
2517,Black Mass,2015,6.9,68,141438,69.0
2518,The Lobster,2015,7.1,82,133976,71.0
2519,Fantastic Four,2015,4.3,27,126582,43.0
2520,Steve Jobs,2015,7.2,82,122631,72.0
2521,Cinderella,2015,7.0,67,122336,70.0
2522,The Age of Adaline,2015,7.2,51,119913,72.0
2523,The Danish Girl,2015,7.1,66,118964,71.0
2524,Legend,2015,7.0,55,116944,70.0
2525,The VVitch: A New-England Folktale,2015,6.8,83,113765,68.0
2526,Pitch Perfect 2,2015,6.4,63,113091,64.0
2527,Trainwreck,2015,6.2,75,110829,62.0
2528,Pixels,2015,5.6,27,106639,56.0
2529,The Gift,2015,7.1,77,104515,71.0
2530,Crimson Peak,2015,6.5,66,103601,65.0
2531,Joy,2015,6.6,56,103045,66.0
2532,Brooklyn,2015,7.5,87,99958,75.0
2533,Get Hard,2015,6.0,34,99215,60.0
2534,The Walk,2015,7.3,70,98093,73.0
2535,Me and Earl and the Dying Girl,2015,7.8,74,97768,78.0
2536,In the Heart of the Sea,2015,6.9,47,95323,69.0
2537,The Visit,2015,6.2,55,87863,62.0
2538,Run All Night,2015,6.6,59,85749,66.0
2539,Carol,2015,7.2,95,82898,72.0
2540,Burnt,2015,6.6,42,81566,66.0
2541,The Good Dinosaur,2015,6.7,66,81251,67.0
2542,Home,2015,6.7,55,79675,67.0
2543,Vacation,2015,6.1,34,77941,61.0
2544,Paper Towns,2015,6.3,56,77210,63.0
2545,The Last Witch Hunter,2015,6.0,34,75566,60.0
2546,Hotel Transylvania 2,2015,6.7,44,74228,67.0
2547,Daddy's Home,2015,6.1,42,73710,61.0
2548,Hitman: Agent 47,2015,5.7,28,73528,57.0
2549,Self/less,2015,6.5,34,71095,65.0
2550,Green Room,2015,7.0,79,70533,70.0
2551,Dope,2015,7.3,72,70005,73.0
2552,Insidious: Chapter 3,2015,6.1,52,68100,61.0
2553,American Ultra,2015,6.1,50,67958,61.0
2554,Entourage,2015,6.6,38,66619,66.0
2555,Hardcore Henry,2015,6.7,51,65695,67.0
2556,Project Almanac,2015,6.4,47,65500,64.0
2557,Concussion,2015,7.1,55,65267,71.0
2558,Demolition,2015,7.0,49,65015,70.0
2559,Eye in the Sky,2015,7.3,73,62320,73.0
2560,No Escape,2015,6.8,38,61685,68.0
2561,The Longest Ride,2015,7.1,33,61657,71.0
2562,Trumbo,2015,7.5,60,61106,75.0
2563,The Wedding Ringer,2015,6.7,35,61001,67.0
2564,The DUFF,2015,6.5,56,60992,65.0
2565,Goosebumps,2015,6.3,60,60507,63.0
2566,Knock Knock,2015,4.9,53,57874,49.0
2567,Youth,2015,7.3,64,55853,73.0
2568,Mortdecai,2015,5.5,27,54496,55.0
2569,Beasts of No Nation,2015,7.8,79,53409,78.0
2570,Sisters,2015,6.0,58,52409,60.0
2571,Bone Tomahawk,2015,7.1,72,51807,71.0
2572,Mr. Holmes,2015,6.9,67,51673,69.0
2573,Child 44,2015,6.5,41,50886,65.0
2574,Pan,2015,5.8,36,50044,58.0
2575,The Invitation,2015,6.7,74,48211,67.0
2576,Anomalisa,2015,7.2,88,48100,72.0
2577,Poltergeist,2015,4.9,47,47692,49.0
2578,Point Break,2015,5.3,34,47268,53.0
2579,Aloha,2015,5.4,40,47147,54.0
2580,The Night Before,2015,6.4,58,46912,64.0
2581,Krampus,2015,6.2,49,44910,62.0
2582,True Story,2015,6.3,50,44572,63.0
2583,Blackhat,2015,5.4,51,44455,54.0
2584,Magic Mike XXL,2015,5.6,60,44210,56.0
2585,Macbeth,2015,6.7,71,43873,67.0
2586,Irrational Man,2015,6.6,53,43189,66.0
2587,Woman in Gold,2015,7.3,51,42451,73.0
2588,The Little Prince,2015,7.8,70,42142,78.0
2589,Wild Card,2015,5.6,40,41682,56.0
2590,Victor Frankenstein,2015,6.0,36,41009,60.0
2591,Hot Pursuit,2015,5.1,31,40655,51.0
2592,Man Up,2015,6.8,69,39207,68.0
2593,Solace,2015,6.4,36,39169,64.0
2594,The SpongeBob Movie: Sponge Out of Water,2015,6.0,62,38842,60.0
2595,Amy,2015,7.8,85,38234,78.0
2596,The Dressmaker,2015,7.1,47,37300,71.0
2597,Victoria,2015,7.7,77,37166,77.0
2598,Far from the Madding Crowd,2015,7.1,71,36461,71.0
2599,Maggie,2015,5.6,52,35424,56.0
2600,The Peanuts Movie,2015,7.1,67,35126,71.0
2601,Scouts Guide to the Zombie Apocalypse,2015,6.3,32,34363,63.0
2602,Sinister 2,2015,5.3,32,34265,53.0
2603,The Man Who Knew Infinity,2015,7.2,56,34250,72.0
2604,Mr. Right,2015,6.3,52,33915,63.0
2605,Colonia,2015,7.1,33,33664,71.0
2606,Dark Places,2015,6.2,39,33464,62.0
2607,Slow West,2015,6.9,72,33245,69.0
2608,The Lazarus Effect,2015,5.2,31,32838,52.0
2609,The Ridiculous 6,2015,4.8,18,32743,48.0
2610,Saul fia,2015,7.5,89,32721,75.0
2611,The Transporter Refueled,2015,5.2,32,32650,52.0
2612,The Gunman,2015,5.8,39,32616,58.0
2613,Yip Man 3,2015,7.1,57,32062,71.0
2614,Last Knights,2015,6.2,27,31912,62.0
2615,Hot Tub Time Machine 2,2015,5.1,29,31750,51.0
2616,The Boy Next Door,2015,4.7,30,31255,47.0
2617,Going Clear: Scientology & the Prison of Belief,2015,8.1,80,30063,81.0
2618,Sleeping with Other People,2015,6.5,64,30025,65.0
2619,Secret in Their Eyes,2015,6.2,45,29738,62.0
2620,Absolutely Anything,2015,6.0,31,29009,60.0
2621,Suffragette,2015,6.9,67,28604,69.0
2622,High-Rise,2015,5.7,65,28411,57.0
2623,Regression,2015,5.7,32,28392,57.0
2624,Shaun the Sheep Movie,2015,7.4,81,28329,74.0
2625,The 33,2015,6.9,55,28189,69.0
2626,"McFarland, USA",2015,7.4,60,28005,74.0
2627,We Are Your Friends,2015,6.2,46,27921,62.0
2628,Paul Blart: Mall Cop 2,2015,4.4,13,27389,44.0
2629,En man som heter Ove,2015,7.7,70,26611,77.0
2630,Love,2015,6.0,51,26398,60.0
2631,Unfinished Business,2015,5.4,32,26163,54.0
2632,The Second Best Exotic Marigold Hotel,2015,6.6,51,26006,66.0
2633,Mustang,2015,7.7,83,25568,77.0
2634,The Final Girls,2015,6.6,59,25428,66.0
